TERM_CODE,CRN,PART_TERM,NO_STUDENTS,AVG_MARK,MARK_100_80,MARK_79_70,MARK_69_60,MARK_59_50,MARK_49_40,MARK_39_25,MARK_24_0,ASSESS_EXAM,ASSESS_CRSE,ASSESS_OTHER
201213,11913,S1,67, 55.81,   8.96,  13.43,  23.88,  28.36,  14.93,   5.97,   4.48,  40.00,  60.00,    .00
201213,11917,S2,85, 51.68,   2.35,   9.41,  17.65,  24.71,  23.53,  20.00,   2.35,    .00, 100.00,    .00
201213,11918,S2,28, 68.43,    .00,  35.71,  57.14,   7.14,    .00,    .00,    .00,  75.00,    .00,  25.00
201213,11919,S1,38, 71.45,  47.37,  15.79,   7.89,  13.16,   7.89,   5.26,   2.63,    .00, 100.00,    .00
201213,11920,S2,33, 71.67,  42.42,  18.18,  12.12,  21.21,   3.03,   3.03,    .00,  20.00,  80.00,    .00
201213,11922,S1,55, 65.36,  25.45,  12.73,  18.18,  27.27,  12.73,   1.82,   1.82,  20.00,  80.00,    .00
201213,11923,S2,34, 69.47,  29.41,  35.29,   8.82,  11.76,  11.76,   2.94,    .00,  15.00,  85.00,    .00
201213,11926,S2,27, 66.30,  14.81,  29.63,  33.33,  14.81,   3.70,    .00,   3.70, 100.00,    .00,    .00
201213,11929,S2,12, 70.17,  25.00,  25.00,  33.33,  16.67,    .00,    .00,    .00, 100.00,    .00,    .00
201213,11930,S1,5, 71.20,  20.00,  40.00,  40.00,    .00,    .00,    .00,    .00,    .00,    .00,    .00
201213,11942,S1,9, 69.33,  11.11,  22.22,  55.56,  11.11,    .00,    .00,    .00,    .00,    .00,    .00
201213,11943,S2,9, 72.33,  22.22,  44.44,  33.33,    .00,    .00,    .00,    .00, 100.00,    .00,    .00
201213,11945,S1,19, 61.26,  10.53,  26.32,  31.58,  15.79,   5.26,    .00,  10.53,    .00,    .00,    .00
201213,11946,S2,21, 50.57,    .00,  14.29,  33.33,  23.81,   9.52,    .00,  19.05, 100.00,    .00,    .00
201213,11947,S1,19, 63.05,  31.58,  10.53,  21.05,  15.79,  10.53,   5.26,   5.26,    .00,    .00,    .00
201213,11948,1,53, 68.91,  22.64,  33.96,  24.53,  15.09,    .00,    .00,   3.77, 100.00,    .00,    .00
201213,11949,1,20, 58.50,  15.00,  10.00,  35.00,  10.00,  15.00,  10.00,   5.00,    .00,    .00,    .00
201213,11953,S1,19, 63.74,    .00,  21.05,  63.16,  10.53,   5.26,    .00,    .00,    .00,    .00,    .00
201213,11954,S2,32, 63.16,   3.13,  31.25,  37.50,  25.00,    .00,    .00,   3.13, 100.00,    .00,    .00
