TERM_CODE,CRN,PART_TERM,NO_STUDENTS,AVG_MARK,MARK_100_80,MARK_79_70,MARK_69_60,MARK_59_50,MARK_49_40,MARK_39_25,MARK_24_0,ASSESS_EXAM,ASSESS_CRSE,ASSESS_OTHER
201314,18803,S1,157,  58.02,    .00,   3.82,  47.13,  41.40,   3.18,   2.55,   1.91,  70.00,    .00,  30.00
201314,18838,S1,26,  60.04,    .00,   3.85,  46.15,  46.15,   3.85,    .00,    .00,  50.00,  50.00,    .00
201314,18840,S1,9,  65.22,    .00,  33.33,  33.33,  33.33,    .00,    .00,    .00,  50.00,  40.00,  10.00
201314,18888,S1,16,  63.38,   6.25,  18.75,  50.00,  18.75,    .00,   6.25,    .00,    .00, 100.00,    .00
201314,18960,S1,206,  58.75,    .49,  17.48,  33.98,  32.52,  11.17,   2.91,   1.46,  70.00,  30.00,    .00
201314,19010,S1,79,  62.19,   1.27,  16.46,  45.57,  29.11,   6.33,   1.27,    .00,  70.00,  20.00,  10.00
201314,19033,S1,64,  58.30,   9.38,  12.50,  21.88,  35.94,   7.81,  12.50,    .00,  90.00,  10.00,    .00
201314,19089,S1,15,  53.40,  13.33,   6.67,  26.67,  20.00,  20.00,    .00,  13.33,  70.00,  30.00,    .00
201314,19350,S1,117,  59.70,   6.84,  23.93,  24.79,  22.22,  14.53,   4.27,   3.42, 100.00,    .00,    .00
201314,20001,S1,32,  67.00,  15.63,  28.13,  28.13,  21.88,   3.13,    .00,   3.13,  80.00,  10.00,  10.00
201314,20018,S1,142,  56.61,   4.93,  18.31,  23.24,  26.76,  15.49,   7.04,   4.23,    .00,    .00, 100.00
201314,20023,S1,51,  54.80,   7.84,   7.84,  17.65,  29.41,  27.45,   7.84,   1.96,  75.00,  25.00,    .00
201314,20032,S1,22,  59.91,    .00,  13.64,  50.00,  22.73,   4.55,   9.09,    .00,  75.00,  25.00,    .00
201314,20040,S1,27,  71.67,   7.41,  62.96,  29.63,    .00,    .00,    .00,    .00,    .00,  50.00,  50.00
201314,20043,S1,65,  69.35,  23.08,  38.46,  16.92,  16.92,   1.54,    .00,   3.08,  50.00,  50.00,    .00
201314,20055,S1,19,  67.84,    .00,  31.58,  68.42,    .00,    .00,    .00,    .00,    .00, 100.00,    .00
201314,20056,S1,19,  66.47,    .00,  15.79,  78.95,   5.26,    .00,    .00,    .00,    .00, 100.00,    .00
201314,20067,S1,17,  59.29,    .00,  41.18,  29.41,  11.76,   5.88,   5.88,   5.88,    .00,  50.00,    .00
201314,20068,S1,16,  56.81,    .00,  25.00,  43.75,  12.50,   6.25,    .00,  12.50,  60.00,  40.00,    .00
201314,20069,S1,64,  65.39,   3.13,  21.88,  56.25,  17.19,   1.56,    .00,    .00,    .00,  50.00,    .00
201314,20079,S1,37,  54.59,    .00,   8.11,  37.84,  29.73,  10.81,   8.11,   5.41,  80.00,  20.00,    .00
201314,20080,S1,26,  60.46,  11.54,  30.77,  34.62,  11.54,    .00,    .00,  11.54,    .00,  60.00,  40.00
201314,20084,S1,21,  62.00,   9.52,   4.76,  52.38,  23.81,   9.52,    .00,    .00,  50.00,  50.00,    .00
201314,20087,1,1,  52.00,    .00,    .00,    .00, 100.00,    .00,    .00,    .00,    .00, 100.00,    .00
201314,20088,S1,53,  60.15,   3.77,  18.87,  45.28,  16.98,   3.77,   7.55,   3.77,  80.00,  20.00,    .00
201314,20135,S1,34,  59.09,    .00,   8.82,  70.59,   5.88,   5.88,   5.88,   2.94,    .00, 100.00,    .00
201314,20146,S1,46,  65.11,   2.17,  23.91,  67.39,   4.35,   2.17,    .00,    .00,    .00,  75.00,  25.00
201314,20147,S1,35,  64.91,   2.86,  25.71,  40.00,  28.57,   2.86,    .00,    .00,    .00,  60.00,  40.00
201314,20168,S1,38,  54.76,    .00,   7.89,  26.32,  50.00,   5.26,   7.89,   2.63,  60.00,  40.00,    .00
201314,20174,S1,90,  58.84,    .00,  18.89,  34.44,  31.11,  11.11,   4.44,    .00,  60.00,  40.00,    .00
201314,20237,S1,25,  51.72,    .00,   8.00,  56.00,   8.00,    .00,  16.00,  12.00,    .00, 100.00,    .00
201314,20267,S1,12,  64.17,    .00,  16.67,  66.67,  16.67,    .00,    .00,    .00,  40.00,  60.00,    .00
201314,20275,S1,33,  61.12,   3.03,  18.18,  36.36,  30.30,   6.06,   6.06,    .00,  80.00,  20.00,    .00
201314,20276,S1,44,  61.30,   2.27,  25.00,  36.36,  25.00,   6.82,   2.27,   2.27,  80.00,  20.00,    .00
201314,20277,S1,53,  49.83,   1.89,  13.21,  16.98,  20.75,  20.75,  18.87,   7.55, 100.00,    .00,    .00
201314,20285,S1,31,  67.58,  16.13,  29.03,  35.48,   6.45,   9.68,   3.23,    .00,    .00,  61.00,  39.00
201314,20311,S1,28,  61.25,    .00,   7.14,  78.57,  10.71,    .00,    .00,   3.57,  60.00,  40.00,    .00
201314,20330,S1,89,  64.00,  14.61,  15.73,  33.71,  20.22,  12.36,   3.37,    .00,  60.00,  40.00,    .00
201314,20364,S1,20,  58.15,    .00,  10.00,  55.00,  20.00,  10.00,    .00,   5.00,  65.00,  35.00,    .00
201314,20405,S1,20,  63.25,    .00,  15.00,  65.00,  15.00,    .00,    .00,   5.00,    .00,  70.00,  30.00
201314,20406,S1,18,  65.22,    .00,  33.33,  61.11,    .00,    .00,    .00,   5.56,    .00,  75.00,  25.00
201314,20407,S1,14,  57.43,    .00,  21.43,  28.57,  35.71,   7.14,    .00,   7.14,    .00, 100.00,    .00
201314,20408,S1,45,  60.22,    .00,  11.11,  53.33,  26.67,   2.22,   6.67,    .00,    .00,  90.00,  10.00
201314,20409,S1,26,  55.42,    .00,   7.69,  34.62,  46.15,   3.85,    .00,   7.69,    .00, 100.00,    .00
201314,20410,S1,30,  52.50,    .00,   3.33,  26.67,  46.67,  13.33,    .00,  10.00,    .00, 100.00,    .00
201314,20419,S1,54,  64.35,    .00,  16.67,  70.37,   9.26,   1.85,    .00,   1.85,  50.00,  50.00,    .00
201314,20444,S1,197,  56.56,   1.02,  10.15,  34.52,  38.07,  10.66,   3.05,   2.54,    .00, 100.00,    .00
201314,20446,S2,1,    .00,    .00,    .00,    .00,    .00,    .00,    .00, 100.00,    .00, 100.00,    .00
201314,20454,S1,65,  57.45,    .00,   4.62,  52.31,  32.31,   1.54,   4.62,   4.62,    .00, 100.00,    .00
201314,20457,S1,32,  61.75,    .00,  15.63,  59.38,  15.63,   6.25,    .00,   3.13,    .00, 100.00,    .00
201314,20483,S1,17,  61.94,    .00,    .00,  82.35,  17.65,    .00,    .00,    .00,    .00, 100.00,    .00
201314,20498,S1,38,  74.63,  31.58,  50.00,  10.53,   5.26,   2.63,    .00,    .00,    .00,  90.00,  10.00
201314,20551,S1,33,  62.21,    .00,  15.15,  60.61,  18.18,   3.03,   3.03,    .00,    .00,  95.00,   5.00
201314,20596,S1,230,  56.08,    .43,   5.65,  33.48,  46.09,  10.00,    .87,   3.48,    .00, 100.00,    .00
201314,20617,S1,16,  64.63,   6.25,  18.75,  56.25,  18.75,    .00,    .00,    .00,    .00, 100.00,    .00
201314,20620,S1,53,  64.62,    .00,  37.74,  35.85,  22.64,    .00,   1.89,   1.89,    .00, 100.00,    .00
